School Name,State,County,total_students,reduced_price,title_I
3D ACADEMY,Texas,Hidalgo County,-0.9552853193716472,-0.9718463989651314,0
6TH GRADE CENTER,Texas,Hunt County,-0.5225131567775949,-0.42242098706013115,1
7TH AND 8TH GRADE ACADEMY,Oklahoma,Muskogee County,0.4501088168873888,0.8137861897261194,1
7TH AND 8TH GRADE ACADEMY,New Mexico,San Miguel County,-0.2146649174065679,0.03543352286070237,1
A & M CONS H S,Texas,Brazos County,4.637291029202009,2.1644569939925784,0
A & M CONSOLIDATED MIDDLE,Texas,Brazos County,0.2872615598288021,-0.23927918309179774,0
A B DUNCAN EL,Texas,Floyd County,-0.19012628963061648,-0.010351928131380979,1
A B MCBAY EL,Texas,Limestone County,0.5616480340508044,0.6306443857577859,1
A C BLUNT MIDDLE,Texas,San Patricio County,-0.6050521774785224,-0.30795735957992276,1
A C JONES H S,Texas,Bee County,1.0167280400775398,1.5005679546073698,1
A E BUTLER INT,Texas,Hunt County,-0.3306657032565201,-0.21638645759575606,1
A G ELDER EL,Texas,Johnson County,-0.0741255037806643,0.24146805232507745,1
A LEAL JR MIDDLE,Texas,Bexar County,0.47687822900660853,-1.063417300949298,1
A M OCHOA EL,Texas,Hidalgo County,-0.09643334721334743,-1.0405245754532564,1
A M PATE EL,Texas,Tarrant County,0.0463368507558245,-0.4682064380522145,1
A N RICO EL,Texas,Hidalgo County,0.9208043133170025,-1.063417300949298,1
A P BEUTEL EL,Texas,Brazoria County,0.01956743863660476,-0.10192283011554767,0
A V CATO EL,Texas,Tarrant County,-0.2592806042719341,0.24146805232507745,1
A+ ACADEMY EL,Texas,Dallas County,0.9877278436150518,1.5692461310954948,1
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,Calcasieu Parish,0.29395391285860706,1.6150315820875782,1
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,Lincoln Parish,-0.48012825425549693,-1.063417300949298,0
A. MONTOYA ELEMENTARY,New Mexico,Bernalillo County,-0.3485119780026666,-0.49109916354825617,1
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,Jefferson Parish,0.2448766573067042,0.974035268198411,1
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,Caddo Parish,-0.18343393660081156,-0.42242098706013115,0
AARON PARKER EL,Texas,Lamar County,-0.6206676678814006,-0.7200264185086729,1
AB HARRISON INT,Texas,Collin County,0.08649096893465409,0.1041116993488274,0
ABBETT EL,Texas,Dallas County,0.27610763811246053,-0.30795735957992276,0
ABBEVILLE HIGH SCHOOL,Louisiana,Vermilion Parish,0.1846454800384598,0.3101462288132025,1
ABBOTT SCHOOL,Texas,Hill County,-0.5269747254641315,0.17278987583695243,1
ABELL J H,Texas,Midland County,0.6888027416170981,0.21857532682903577,1
ABERNATHY EL,Texas,Hale County,-0.3485119780026666,0.03543352286070237,1
ABERNATHY H S,Texas,Hale County,-0.7299761007015478,-0.5597773400363812,1
ABERNATHY MIDDLE,Texas,Hale County,-0.8348229648351584,-0.6055627910284646,1
ABILENE H S,Texas,Taylor County,3.620053368671659,2.7596678568896618,1
ABIQUIU ELEMENTARY,New Mexico,Rio Arriba County,-0.9352082602822325,-1.063417300949298,1
ABITA SPRINGS ELEMENTARY SCHOOL,Louisiana,St. Tammany Parish,0.5036476411258283,1.5234606801034114,1
ABITA SPRINGS MIDDLE SCHOOL,Louisiana,St. Tammany Parish,-0.19681864266042143,0.4017171307973692,1
ABOUT FACE PROGRAM EL,Texas,El Paso County,-1.18951767541482,-1.0405245754532564,1
ABQ CHARTER ACADEMY,New Mexico,Bernalillo County,-0.5582057062698879,-0.8573827714849229,1
ABRAHAM KAZEN MIDDLE,Texas,Bexar County,-0.1700492305412017,0.1956826013329941,1
ACADEMIC CENTER FOR EXCELLENCE,Arkansas,Lonoke County,-0.7768225719101823,-0.9718463989651314,0
ACADEMY AT CARRIE F THOMAS,Texas,Tarrant County,0.039644497726019565,0.21857532682903577,1
ACADEMY AT LARRAGOITE,New Mexico,Santa Fe County,-0.9129004168495494,-0.9031682224770063,1
ACADEMY AT NOLA DUNN,Texas,Johnson County,0.13779900882982526,-0.14770828110763104,0
ACADEMY CENTRAL ES,Oklahoma,Osage County,-0.4667435481958871,-0.1706010066036727,1
ACADEMY DEL SOL ALT.,New Mexico,Otero County,-0.8236690431188168,-0.42242098706013115,1
ACADEMY ES,Oklahoma,Texas County,-0.2927423694209588,0.35593167980528584,1
ACADEMY FOR TECH & CLASS,New Mexico,Santa Fe County,-0.49351296031510683,-0.7887045949967979,0
ACADEMY H S,Texas,Bell County,-0.46451276385261875,-0.4682064380522145,1
ACADEMY INT,Texas,Bell County,-0.28605001639115385,-0.30795735957992276,1
ACADEMY J H,Texas,Bell County,-0.437743351733399,-0.1706010066036727,1
ACADEMY JJAEP,Texas,Bell County,-1.2073639501609663,-1.063417300949298,0
ACADEMY OF ACCELERATED LEARNING,Texas,Harris County,-0.060740797721054444,0.3101462288132025,1
ACADEMY OF CREATIVE ED,Texas,Bexar County,-0.9151312011928177,-0.9718463989651314,0
ACADEMY OF DALLAS,Texas,Dallas County,-0.049586876004712885,0.5390734837736192,1
ACADIAN ELEMENTARY,Louisiana,Rapides Parish,-0.4667435481958871,-0.7658118695007563,1
ACADIAN ELEMENTARY SCHOOL,Louisiana,Terrebonne Parish,0.5304170532450481,0.836678915222161,1
ACADIAN MIDDLE SCHOOL,Louisiana,Lafayette Parish,-0.00274040479607835,0.4017171307973692,1
ACADIANA HIGH SCHOOL,Louisiana,Lafayette Parish,2.6630468854095537,2.7825605823857034,1
ACCELERATED INT CHARTER SCHOOL,Texas,Harris County,-0.9062080638197444,-0.9947391244611731,1
ACCELERATED INTERDISCIPLINARY ACAD,Texas,Harris County,-0.41766629264398425,-1.0405245754532564,1
ACCELERATED LEARNING CENTER,Texas,Nueces County,-0.9419006133120373,-0.7658118695007563,1
ACEQUIA MADRE ELEMENTARY,New Mexico,Santa Fe County,-0.8258998274620852,-0.6971336930126313,0
ACHIEVE ACADEMY,Texas,Collin County,-1.1739021850119418,-1.0176318499572148,1
ACHIEVE EARLY COLLEGE H S,Texas,Hidalgo County,-0.9954394375504768,-1.063417300949298,0
ACHILLE ES,Oklahoma,Bryan County,-0.7991304153428654,-0.6971336930126313,1
ACHILLE HS,Oklahoma,Bryan County,-0.9240543385658909,-0.7200264185086729,1
ACORN ELEMENTARY SCHOOL,Arkansas,Polk County,-0.5582057062698879,-0.010351928131380979,1
ACORN HIGH SCHOOL,Arkansas,Polk County,-0.6987451198957915,-0.19349373209971438,0
ACTON EL,Texas,Hood County,0.3965699926489494,-0.1706010066036727,0
ACTON MIDDLE,Texas,Hood County,0.50141685678256,-0.30795735957992276,0
AD WHEAT MIDDLE,Texas,Johnson County,0.36980058052972964,1.0198207191904944,1
ADA EC CTR,Oklahoma,Pontotoc County,-0.33735805628632504,-0.2621719085878394,1
ADA HS,Oklahoma,Pontotoc County,0.006182732576994894,-0.033244653627422655,0
ADA JHS,Oklahoma,Pontotoc County,-0.020586679542224838,-0.21638645759575606,0
ADA MAE FAUBION EL,Texas,Williamson County,0.1467221462028985,-0.5139918890442978,1
ADAIR HS,Oklahoma,Mayes County,-0.5403594315237413,-0.2850646340838811,0
ADAIR MS,Oklahoma,Mayes County,-0.7322068850448161,-0.4453137125561728,1
ADAM EL,Texas,Harris County,0.7356492128257327,0.5161807582775776,1
ADAMS EL,Texas,Johnson County,0.04856763509909281,0.1041116993488274,1
ADAMS ES,Oklahoma,Garfield County,-0.5068976663747167,-0.49109916354825617,1
ADAMS ES,Oklahoma,Comanche County,-0.8638231612976465,-0.6055627910284646,0
ADAMS ES,Oklahoma,Cleveland County,-0.16335687751139677,-0.10192283011554767,1
ADAMS ES,Oklahoma,Oklahoma County,-0.0005096204528100389,-0.6055627910284646,1
ADAMS HILL EL,Texas,Bexar County,-0.011663542169151594,0.5848589347657026,1
ADAMS MIDDLE,Texas,Jim Wells County,0.67318725121422,0.4932880327815359,1
ADELAIDE LEE ES,Oklahoma,Oklahoma County,0.15564528357597174,-0.14770828110763104,1
ADELLE TURNER EL,Texas,Dallas County,-0.13881824973544532,0.35593167980528584,1
ADMIN SERVICES,Texas,Harris County,-1.17613296935521,-1.063417300949298,0
ADOBE ACRES ELEMENTARY,New Mexico,Bernalillo County,0.7914188214074405,-1.063417300949298,1
ADRIAN SCHOOL,Texas,Oldham County,-0.9151312011928177,-0.3766355360680478,1
ADVANTAGE ACADEMY,Texas,Dallas County,2.1276586430251587,2.6223115039134117,1
